,ID,Pred
0,2016_1112_1114,0.7783403214133996
1,2016_1112_1122,0.9495492958327314
2,2016_1112_1124,0.6582575868359137
3,2016_1112_1138,0.8503446196805249
4,2016_1112_1139,0.6619431567767265
5,2016_1112_1143,0.6712106100459573
6,2016_1112_1151,0.8402350206580396
7,2016_1112_1153,0.68788198429869
8,2016_1112_1160,0.756432574873985
9,2016_1112_1163,0.6087154170539795
10,2016_1112_1167,0.872755547547294
11,2016_1112_1173,0.7273539150927295
12,2016_1112_1181,0.604452606591033
13,2016_1112_1192,0.964619571096638
14,2016_1112_1195,0.9269733743113349
15,2016_1112_1201,0.8144285641899036
16,2016_1112_1211,0.5379097038169348
17,2016_1112_1214,0.9468972490078387
18,2016_1112_1218,0.8075204940253979
19,2016_1112_1221,0.9654071980347091
20,2016_1112_1231,0.5966965390214624
21,2016_1112_1233,0.7990022439706959
22,2016_1112_1234,0.6192420475951912
23,2016_1112_1235,0.631577825720104
24,2016_1112_1242,0.29807990897680714
25,2016_1112_1246,0.4368230431124887
26,2016_1112_1268,0.5632952751861463
27,2016_1112_1274,0.6061011941347179
28,2016_1112_1276,0.7944699274983389
29,2016_1112_1277,0.4432489864032903
30,2016_1112_1292,0.852362088710274
31,2016_1112_1314,0.3360458579801142
32,2016_1112_1320,0.7597617792755462
33,2016_1112_1323,0.6751295445126385
34,2016_1112_1328,0.49422139466039805
35,2016_1112_1332,0.5919327549953297
36,2016_1112_1333,0.8721368370252285
37,2016_1112_1338,0.7132310338152411
38,2016_1112_1344,0.6841435669951742
39,2016_1112_1345,0.534565580478527
40,2016_1112_1355,0.7879188698754248
41,2016_1112_1371,0.6595950651269556
42,2016_1112_1372,0.7225798705725343
43,2016_1112_1380,0.9577220369662216
44,2016_1112_1386,0.7402487012508232
45,2016_1112_1392,0.8377221893031086
46,2016_1112_1393,0.6880301507881827
47,2016_1112_1396,0.8054856520147283
48,2016_1112_1400,0.6536799378497342
49,2016_1112_1401,0.6371476394822104
50,2016_1112_1403,0.7569641010678103
51,2016_1112_1409,0.7666373453980652
52,2016_1112_1421,0.8871861543911866
53,2016_1112_1423,0.8016784994047245
54,2016_1112_1425,0.7731147421244
55,2016_1112_1428,0.6198356179091107
56,2016_1112_1433,0.6895839411782465
57,2016_1112_1435,0.5813660853888704
58,2016_1112_1437,0.43879467844397596
59,2016_1112_1438,0.3962790841084832
60,2016_1112_1451,0.8949565532688398
61,2016_1112_1452,0.5389236268915706
62,2016_1112_1453,0.8374008512035687
63,2016_1112_1455,0.5287971487859701
64,2016_1112_1458,0.6404158770239406
65,2016_1112_1462,0.588744080359323
66,2016_1112_1463,0.7607215899358425
67,2016_1114_1122,0.8366144997200449
68,2016_1114_1124,0.3438462010165586
69,2016_1114_1138,0.6072021641766704
70,2016_1114_1139,0.34756174749545343
71,2016_1114_1143,0.35707683873909407
72,2016_1114_1151,0.5886138344167359
73,2016_1114_1153,0.37484104824291153
74,2016_1114_1160,0.4579693733664289
75,2016_1114_1163,0.2973761062229116
76,2016_1114_1167,0.6510835889221481
77,2016_1114_1173,0.42055361143521514
78,2016_1114_1181,0.2936572898639582
79,2016_1114_1192,0.8811991609205487
80,2016_1114_1195,0.7754527570611115
81,2016_1114_1201,0.5442109910232806
82,2016_1114_1211,0.24052389837707905
83,2016_1114_1214,0.8290943142834849
84,2016_1114_1218,0.5330116464786818
85,2016_1114_1221,0.8836198102942979
86,2016_1114_1231,0.2869956624552368
87,2016_1114_1233,0.5195725479895821
88,2016_1114_1234,0.30673940076701317
89,2016_1114_1235,0.31804991889991935
90,2016_1114_1242,0.10356765460593999
91,2016_1114_1246,0.17424935397397381
92,2016_1114_1268,0.25976446410714776
93,2016_1114_1274,0.29509059674389404
94,2016_1114_1276,0.512583087669978
95,2016_1114_1277,0.1780337406042783
96,2016_1114_1292,0.6109979285113984
97,2016_1114_1314,0.12103075265739467
98,2016_1114_1320,0.462479199973896
99,2016_1114_1323,0.3611764396134651
100,2016_1114_1328,0.2100116417213251
101,2016_1114_1332,0.28296960742816374
102,2016_1114_1333,0.6498194984744249
103,2016_1114_1338,0.40357015382686945
104,2016_1114_1344,0.37078286361120816
105,2016_1114_1345,0.23807605137473453
106,2016_1114_1355,0.5026715856585569
107,2016_1114_1371,0.34519012428087015
108,2016_1114_1372,0.4147301631514962
